PCP,TMPMX,TMPMN,SOLAR,RH,WIND,DewTmp,
1.08E+00,14.54,8.857,5.123,0.864,4.788,0,
35.946,17.568,8.378,16.599,0.84,5.957,0,
0.01,10.114,0.33,19.61,0.696,5.15,0,
0,14.938,-0.477,20.282,0.614,2.382,0,
0,19.488,3.726,20.377,0.702,2.619,0,
3.286,17.25,7.758,17.296,0.705,3.63,0,
0.151,17.623,3.685,20.021,0.783,2.915,0,
0.477,18.76,11.127,9.582,0.803,5.705,0,
1.857,12.635,5.17,9.526,0.783,5.11,0,
0.003,18.681,1.642,20.277,0.723,2.639,0,
0.082,19.393,6.581,18.594,0.686,3.685,0,
0.189,19.176,9.943,8.748,0.763,6.093,0,
0.003,17.564,8.447,19.717,0.683,4.944,0,
1.511,11.807,7.817,4.291,0.723,3.147,0,
43.72,8.456,6.061,1.077,0.951,3.511,0,
5.943,15.154,7.478,3.465,0.957,4.728,0,
4.875,19.581,15.451,2.72,0.927,6.533,0,
22.913,22.837,17.875,15.035,0.923,4.415,0,
5.771,22.657,16.379,20.433,0.875,4.133,0,
5.162,21.503,13.877,13.862,0.897,3.221,0,
3.265,20.897,15.831,12.376,0.893,4.374,0,
0.11,17.762,8.024,8.37,0.686,7.042,0,
0.003,12.27,3.046,17.772,0.701,5.213,0,
0,18.376,1.249,23.086,0.627,1.912,0,
0,21.703,9.684,22.873,0.726,5.085,0,
1.49,18.595,12.355,6.871,0.868,3.479,0,
1.15,21.33,15.335,4.535,0.91,4.514,0,
4.722,20.38,17.46,3.648,0.864,6.456,0,
24.163,19.286,18.312,1.749,0.938,5.054,0,
3.141,18.434,13.792,5.369,0.958,2.439,0,
25.705,20.018,16.77,2.404,0.958,4.578,0,
4.477,17.098,6.579,7.072,0.874,3.649,0,
3.004,12.239,9.762,3.516,0.942,2.976,0,
0.929,13.755,5.025,19.283,0.858,3.213,0,
0,19.862,3.257,24.828,0.779,2.488,0,
0,23.499,9.852,24.895,0.767,2.923,0,
1.171,20.016,10.495,9.589,0.774,3.594,0,
5.037,23.97,15.779,5.542,0.938,4.847,0,
0.021,19.367,6.754,23.783,0.79,2.972,0,
0.596,25.265,11.701,19.547,0.778,4.423,0,
11.199,22.222,17.705,13.478,0.801,5.885,0,
0,23.306,12.28,25.471,0.583,3.969,0,
0,20.715,12.152,25.828,0.648,3.292,0,
0,24.691,8.491,26.13,0.721,1.603,0,
0,27.325,10.809,26.078,0.687,1.795,0,
0,27.63,12.9,25.908,0.642,2.684,0,
0.594,25.141,15.97,14.499,0.773,3.415,0,
31.012,23.45,13.618,10.87,0.9,4.941,0,
6.633,25.108,17.22,18.322,0.9,3.73,0,
24.012,21.021,17.86,7.625,0.962,3.122,0,
1.085,21.919,14.255,11.504,0.913,3.02,0,
2.125,18.888,14.881,6.059,0.936,3.913,0,
9.901,19.44,14.294,8.736,0.907,4.435,0,
0.014,26.233,10.086,24.981,0.825,1.397,0,
0,26.979,15.397,26.485,0.776,3.633,0,
2.17,24.704,11.141,20.747,0.789,4.406,0,
3.186,18.036,8.213,8.564,0.753,2.35,0,
1.847,19.767,6.365,24.835,0.733,3.265,0,
9.213,17.652,9.175,15.369,0.886,2.753,0,
0.285,24.188,8.198,22.621,0.823,1.391,0,
2.956,21.028,13.375,7.78,0.87,2.583,0,
3.272,28.56,16.597,22.54,0.853,4.326,0,
7.079,26.932,19.239,14.149,0.863,3.805,0,
23.246,22.677,9.451,5.69,0.919,5.202,0,
0.179,21.134,9.02,25.371,0.802,2.416,0,
0,24.988,10.908,28.684,0.809,3.324,0,
0,27.609,14.416,28.486,0.751,5.248,0,
0.021,28.329,17.002,27.087,0.737,5.024,0,
0,28.881,16.45,28.089,0.699,4.278,0,
1.555,30.254,20.88,18.42,0.773,4.21,0,
48.539,27.357,11.168,5.74,0.954,4.406,0,
4.285,20.381,7.566,26.248,0.78,3.784,0,
0,24.13,8.005,29.144,0.713,1.786,0,
0,26.152,11.586,29.159,0.702,2.195,0,
0,27.63,12.386,28.915,0.722,2.013,0,
0,29.836,14.225,28.594,0.703,1.81,0,
0,27.806,15.889,21.601,0.675,2.475,0,
0,27.93,17.092,26.714,0.744,2.763,0,
1.79E+00,29.456,18.426,28.126,0.733,4.374,0,
0.00E+00,28.329,19.864,23.854,0.724,4.555,0,
21.966,27.516,19.472,15.907,0.811,3.694,0,
106.344,21.931,17.927,18.139,0.913,4.205,0,
5.198,26.09,17.164,21.15,0.872,3.364,0,
0,23.987,14.676,29.516,0.706,3.909,0,
0.00E+00,22.278,10.667,30.194,0.651,2.821,0,
0.00E+00,24.912,10.558,21.95,0.629,2.242,0,
2.522,28.679,17.795,26.283,0.737,4.56,0,
0.834,30.059,20.623,22.5,0.801,3.462,0,
2.235,28.905,18.988,18.017,0.848,3.464,0,
15.364,27.089,19.357,10.108,0.903,2.635,0,
0.055,27.388,16.41,23.274,0.848,1.887,0,
3.6,28.217,17.442,21.799,0.876,2.537,0,
6.702,23.887,20.282,14.756,0.937,2.173,0,
0.87,23.308,18.519,9.264,0.897,2.156,0,
0.021,31.456,15.182,27.124,0.804,1.041,0,
24.664,28.305,20.936,9.788,0.914,2.387,0,
15.201,28.513,21.796,17.811,0.91,4.145,0,
1.203,32.426,23.449,28.538,0.786,5.605,0,
0.192,33.457,22.515,28.776,0.715,4.643,0,
3.056,31.859,20.389,28.941,0.762,3.155,0,
0.062,30.032,17.605,23.458,0.713,4.556,0,
0,25.787,13.805,30.622,0.609,3.635,0,
0,29.34,12.113,30.169,0.675,1.412,0,
0,30.507,14.236,29.976,0.595,1.599,0,
0.00E+00,31.608,16.477,29.829,0.59,2.799,0,
0.00E+00,31.224,18.326,29.645,0.619,3.089,0,
0,31.913,19.18,29.636,0.636,3.274,0,
0,31.748,20.293,29.469,0.621,4.015,0,
0,32.808,20.47,27.772,0.611,4.642,0,
0,33.266,23.552,28.24,0.611,4.991,0,
0,35.423,24.651,28.215,0.626,4.555,0,
0,35.642,24.148,28.859,0.616,3.541,0,
0,35.178,24.325,27.94,0.591,3.287,0,
0,34.999,23.336,28.485,0.574,3.515,0,
0,36.142,22.803,28.152,0.555,2.382,0,
8.959,33.59,22.725,27.004,0.717,2.543,0,
2.195,30.897,20.959,27.589,0.765,2.381,0,
0.127,33.949,19.397,29.052,0.669,1.966,0,
0,35.012,21.027,29.117,0.62,2.478,0,
0,38.662,23.832,28.701,0.541,2.429,0,
0,37.851,24.614,27.54,0.512,2.459,0,
0,36.437,24.44,28.417,0.465,4.249,0,
0,35.71,23.331,28.76,0.482,4.599,0,
0,36.281,23.915,29.196,0.532,3.8,0,
0,37.191,24.608,28.824,0.546,4,0,
0.094,35.129,25.332,23.13,0.574,3.252,0,
8.068,30.879,22.135,25.715,0.795,1.815,0,
7.771,33.454,22.345,24.396,0.792,1.905,0,
1.816,36.659,22.082,27.754,0.716,2.083,0,
1.085,36.518,22.652,27.713,0.688,2.704,0,
0.783,36.342,23.231,28.35,0.594,2.323,0,
0,36.131,20.62,28.99,0.546,1.968,0,
0.137,36.789,22.588,26.874,0.524,2.512,0,
0,36.017,24.198,26.145,0.539,3.229,0,
0.889,34.982,23.636,27.204,0.639,3.708,0,
9.067,33.757,23.934,26.902,0.712,3.534,0,
8.259,32.459,21.944,11.548,0.721,2.182,0,
0,39.383,19.902,23.309,0.522,1.083,0,
2.407,32.233,22.394,23.242,0.652,3.693,0,
0,33.818,20.981,26.504,0.551,2.605,0,
0,34.383,22.859,23.773,0.55,2.201,0,
0,37.048,23.013,23.853,0.442,1.755,0,
0,36.54,21.956,27.546,0.448,2.456,0,
0.00E+00,37.534,23.117,27.71,0.493,2.474,0,
0.114,35.583,22.786,23.631,0.622,3.145,0,
0.014,33.419,24.407,26.581,0.662,4.088,0,
20.527,31.102,22.654,7.108,0.814,4.052,0,
54.875,28.121,23.291,12.279,0.92,3.019,0,
4.106,34.156,23.155,26.34,0.769,3.939,0,
0.125,36.098,24.427,27.4,0.602,4.252,0,
0,36.933,24.382,27.938,0.531,4.43,0,
1.09,35.295,24.315,26.807,0.616,4.069,0,
11.167,37.254,23.22,25.115,0.697,1.826,0,
8.954,31.953,23.194,9.281,0.791,1.981,0,
1.464,34.361,22.209,23.798,0.677,2.711,0,
0,35.573,23.382,26.664,0.536,2.763,0,
0,37.228,22.656,27.22,0.496,2.086,0,
0,37.808,23.39,26.953,0.522,1.791,0,
0,36.816,23.505,26.68,0.518,2.247,0,
0.347,35.525,22.898,23.258,0.589,2.436,0,
0.417,35.08,22.422,23.39,0.6,3.429,0,
3.988,35.296,23.148,24.391,0.682,2.978,0,
1.579,32.284,23.688,19.976,0.669,2.861,0,
0,32.412,15.793,26.811,0.533,2.15,0,
0,37.076,19.87,20.858,0.635,2.288,0,
0,36.531,24.428,21.605,0.603,2.809,0,
0,36.274,24.961,16.553,0.524,2.322,0,
0.778,35.724,22.88,24.17,0.559,2.478,0,
0,36.812,21.869,25.781,0.496,2.525,0,
0,36.917,23.152,25.634,0.473,2.75,0,
0,35.613,24.369,18.569,0.528,3.233,0,
0,37.861,24.963,23.507,0.49,3.505,0,
0,36.807,24.579,20.735,0.506,3.273,0,
1.317,35.998,23.636,10.482,0.606,2.693,0,
0.766,37.444,22.851,19.009,0.565,1.573,0,
0,35.776,20.518,22.91,0.418,1.576,0,
0,35.091,20.474,14.656,0.472,1.881,0,
0.055,34.733,20.674,12.845,0.586,2.172,0,
0,36.81,23.897,19.036,0.527,2.181,0,
0.038,37.19,24.555,23.248,0.466,2.88,0,
0,37.355,23.475,24.249,0.521,3.067,0,
0,36.687,23.476,19.651,0.501,2.158,0,
0.446,35.371,23.355,12.854,0.551,2.106,0,
0.426,36.306,22.164,21.482,0.678,2.498,0,
0,38.565,22.64,23.48,0.612,2.553,0,
3.974,34.063,22.216,22.948,0.66,2.16,0,
7.613,33.432,21.41,23.1,0.648,1.975,0,
1.392,34.258,20.3,22.718,0.68,1.858,0,
1.13,37.423,20.701,20.897,0.578,1.805,0,
1.574,35.339,25.002,9.978,0.502,1.918,0,
0,34.58,22.167,21.975,0.447,2.729,0,
0,32.393,16.35,23.979,0.38,3.108,0,
0,33.297,15.871,23.675,0.438,2.396,0,
0.014,32.897,20.5,18.488,0.527,2.543,0,
0,32.901,18.94,20.527,0.463,2.52,0,
0.00E+00,33.614,19.843,22.941,0.43,3.992,0,
0,30.134,17.569,23.343,0.355,4.218,0,
0,27.731,13.868,22.717,0.331,3.704,0,
0,27.408,12.202,23.347,0.388,2.761,0,
0,31.423,12.608,22.724,0.434,2.352,0,
0.031,26.916,18.967,11.296,0.722,2.228,0,
7.411,24.425,19.765,6.034,0.888,2.349,0,
65.008,19.869,18.575,1.606,0.949,4.579,0,
0.371,27.927,14.397,20.111,0.719,4.082,0,
0,29.842,16.526,21.544,0.637,1.769,0,
0,28.695,16.618,18.265,0.637,2.272,0,
0,28.832,15.385,21.64,0.55,2.379,0,
0,28.937,13.719,21.653,0.541,2.112,0,
0,30.163,14.763,21.276,0.51,1.97,0,
0,30.879,15.879,21.043,0.595,2.158,0,
0,33.256,18.285,20.743,0.553,3.363,0,
0,33.12,21.059,20.095,0.619,2.816,0,
0,34.133,16.883,20.758,0.561,2.067,0,
0,36.756,19.864,20.606,0.363,2.67,0,
0,31.096,16.879,21.009,0.257,2.284,0,
0,34.448,18.52,20.28,0.35,3.281,0,
0,27.873,13.732,20.846,0.279,3.744,0,
0,30.595,10.362,20.555,0.223,2.79,0,
0,31.974,15.331,19.986,0.344,3.028,0,
0,33.785,17.306,19.799,0.353,3.213,0,
0,33.036,21.375,19.475,0.494,6.272,0,
0.618,28.259,15.118,3.992,0.627,5.312,0,
0.055,22.064,6.949,18.093,0.355,2.851,0,
0,33.192,12.726,19.258,0.274,3.619,0,
0,33.321,18.029,18.883,0.354,4.262,0,
0,26.981,18.38,17.469,0.498,4.641,0,
0,21.804,13.343,5.225,0.341,3.839,0,
1.15,22.997,13.514,5.117,0.498,3.666,0,
1.428,29.165,18.345,8.454,0.806,3.41,0,
3.035,30.958,19.445,16.922,0.728,2.852,0,
0.182,30.471,19.161,17.688,0.581,3.65,0,
0,30.793,18.601,17.479,0.581,5.402,0,
0,32.437,22.522,17.351,0.573,7.363,0,
0,32.064,22.94,17.175,0.588,7.253,0,
8.466,27.452,11.752,16.232,0.569,6.262,0,
0,22.012,8.684,18.103,0.396,2.742,0,
0,24.712,8.755,17.416,0.366,1.887,0,
0,26.214,10.847,17.425,0.33,2.501,0,
0,26.196,12.415,17.12,0.424,3.622,0,
0,27.568,15.97,16.714,0.574,5.92,0,
0,29.869,18.605,16.158,0.611,3.144,0,
0,29.458,15.859,16.098,0.657,3.514,0,
21.688,27.603,15.325,8.355,0.67,8.303,0,
29.265,18.28,7.794,15.633,0.657,4.701,0,
0,15.869,4.854,16.705,0.539,2.636,0,
0,19.233,6.096,16.423,0.484,2.032,0,
0,18.673,5.721,16.633,0.505,1.994,0,
0,19.265,6.399,16.067,0.481,2.913,0,
0.306,16.093,9.582,4.128,0.623,3.937,0,
0.8,15.306,6.365,14.694,0.68,4.282,0,
0,16.449,2.428,12.533,0.565,2.356,0,
0.235,18.047,10.225,4.458,0.671,3.976,0,
7.483,19.889,11.846,4.076,0.861,5.348,0,
0.043,11.77,3.484,14.42,0.609,4.968,0,
0,12.673,0.648,15.279,0.545,2.731,0,
0.299,8.847,2.094,8.16,0.688,2.721,0,
0,14.392,1.307,14.558,0.74,2.205,0,
0,17.643,0.421,15.079,0.634,0.789,0,
0,18.851,4.23,14.99,0.502,2.33,0,
0,21.266,4.875,14.776,0.386,2.527,0,
0,21.948,8.725,13.932,0.449,3.338,0,
1.115,21.703,13.889,4.495,0.744,4.849,0,
0.555,22.336,17.746,2.772,0.814,5.177,0,
1.96,22.637,17.724,1.876,0.852,5.113,0,
13.499,21.641,13.666,2.739,0.779,6.129,0,
0.003,13.539,3.044,4.864,0.468,3.817,0,
0,12.488,-1.174,13.243,0.514,2.624,0,
0,14.778,3.567,11.655,0.508,3.387,0,
0.027,16.787,2.316,12.986,0.578,2.04,0,
0,18.568,4.258,13.685,0.491,3.426,0,
0.034,21.274,13.567,10.764,0.589,6.831,0,
0,12.086,3.023,13.567,0.537,5.265,0,
0,5.2,-1.566,13.78,0.363,4.795,0,
0,7.631,-5.092,13.653,0.442,2.103,0,
0,13.519,-2.095,13.674,0.317,2.457,0,
0,10.427,-1.603,13.316,0.569,3.236,0,
0,14.788,-1.342,13.396,0.613,3.324,0,
0,18.531,3.603,12.873,0.556,2.854,0,
0,21.107,8.487,12.994,0.645,5.788,0,
0,17.225,7.144,13.344,0.419,4.913,0,
0,19.834,5.535,12.906,0.319,2.639,0,
0,14.378,6.744,12.742,0.43,4.757,0,
0,17.328,2.882,12.709,0.553,3.113,0,
0.105,16.316,8.865,5.033,0.634,4.788,0,
0.348,21.201,14.546,3.775,0.787,6.887,0,
23.768,17.983,3.276,1.337,0.845,5.592,0,
5.902,10.398,1.344,10.721,0.82,4.977,0,
0,7.041,2.78,5.497,0.643,4.297,0,
0.079,9.97,2.779,7.49,0.673,2.079,0,
0.29,8.413,2.428,8.948,0.832,4.361,0,
0,3.745,-5.539,12.997,0.331,5.167,0,
0,10.384,-2.993,12.57,0.296,3.296,0,
0,15.455,2.494,10.855,0.597,4.442,0,
0.041,17.34,10.407,8.436,0.792,4.344,0,
1.114,19.265,14.68,2.903,0.869,5.568,0,
5.582,18.017,16.32,1.429,0.918,5.681,0,
37.324,17.688,7.326,0.462,0.94,4.836,0,
2.427,12.992,5.385,11.348,0.813,5.261,0,
0,15.455,3.189,12.636,0.63,2.512,0,
0,17.429,7.052,12.481,0.68,4.216,0,
0,17.298,9.182,8.336,0.834,2.848,0,
0.118,14.471,10.202,9.001,0.813,4.397,0,
4.523,10.575,4.525,9.398,0.813,2.82,0,
0.079,9.116,3.122,8.634,0.739,3.448,0,
0.017,9.751,0.725,11.53,0.691,4.146,0,
0,12.991,-0.403,11.499,0.672,2.146,0,
0.161,14.01,4.52,7.135,0.717,3.719,0,
3.008,10.955,3.264,7.501,0.846,5.346,0,
0,8.642,-2.332,12.054,0.716,2.271,0,
0,10.694,-1.04,12.767,0.702,1.736,0,
1.123,14.607,4.114,2.893,0.858,6.708,0,
5.66E-01,14.964,0.299,11.875,0.568,6.409,0,
0,7.92,-1.422,11.51,0.671,2.501,0,
0.048,11.195,0.724,12.362,0.827,3.141,0,
2.63,14.895,6.739,2.212,0.917,4.759,0,
2.335,16.853,7.796,11.46,0.721,7.254,0,
0.093,9.165,2.799,12.198,0.43,5.12,0,
0,15.864,2.143,12.921,0.671,4.657,0,
0,20,7.282,12.908,0.801,3.117,0,
0.872,17.085,13.443,2.82,0.879,6.196,0,
2.645,18.378,15.195,3.396,0.878,3.719,0,
0.01,17.599,7.406,12.083,0.758,2.992,0,
0,18.916,7.366,13.456,0.78,2.664,0,
0.58,13.574,10.433,2.937,0.866,4.173,0,
21.969,12.467,11.166,1.639,0.95,3.656,0,
11.918,11.286,8.986,2.33,0.941,2.675,0,
26.865,9.975,4.997,2.599,0.91,5.13,0,
0.003,10.014,-0.973,13.443,0.745,4.071,0,
0,16.472,4.128,14.597,0.655,4.298,0,
0,14.543,7.644,9.549,0.587,4.751,0,
1.075,11.439,7.011,3.083,0.864,2.878,0,
1.36,6.746,0.547,2.897,0.822,5.072,0,
2.358,3.265,-0.253,1.331,0.864,2.095,0,
12.95,3.426,0.567,0.885,0.938,4.9,0,
8.37,3.808,0.099,1.602,0.94,2.555,0,
0.194,2.783,-4.488,12.473,0.699,7.121,0,
0,4.667,-5.907,15.258,0.475,3.146,0,
0.003,6.055,-2.837,10.918,0.616,2.92,0,
0.297,8.906,-0.651,9.599,0.874,2.529,0,
0,11.938,0.591,15.062,0.861,4.005,0,
4.541,12.866,7.466,13.765,0.872,4.243,0,
0,12.211,2.46,15.96,0.671,2.82,0,
0.377,7.938,3.376,3.009,0.789,5.952,0,
19.88,4.439,1.4,0.99,0.924,6.086,0,
16.102,1.219,-1.207,1.962,0.925,6.521,0,
0.443,6.144,-4.547,15.302,0.753,3.181,0,
0,5.939,-4.477,14.344,0.866,2.011,0,
0.251,3.516,-1.616,8.365,0.954,3.023,0,
0.127,13.476,1.584,15.193,0.936,3.867,0,
0.781,15.097,9.956,5.695,0.918,5.368,0,
1.189,22.305,13.259,12.778,0.855,5.684,0,
3.275,12.241,-4.241,4.266,0.746,7.958,0,
0.27,5.081,-5.844,15.233,0.47,3.462,0,
0,10.389,-1.785,16.325,0.58,3.909,0,
0.985,22.995,6.004,16.078,0.834,6.566,0,
0,24.833,7.432,17.512,0.708,3.641,0,
0,22.574,13.028,18.233,0.578,5.59,0,
0,25.111,9.467,18.024,0.495,3.882,0,
0,19.545,7.79,18.168,0.62,3.992,0,
0.338,12.646,6.348,6.567,0.827,3.358,0,
0.026,12.113,1.654,17.809,0.684,4.55,0,
0,12.34,-2.802,19.458,0.461,3.314,0,
0,20.28,3.861,19.102,0.535,3.247,0,
0,24.298,11.073,18.996,0.592,4.968,0,
1.083,19.186,10.733,4.61,0.827,4.212,0,
8.073,9.688,-3.673,14.574,0.762,8.46,0,
0.069,5.887,-8.443,20.308,0.467,4.535,0,
0,12.001,-4.496,18.738,0.421,5.294,0,
1.385,23.812,8.164,15.532,0.768,7.505,0,
0,19.756,-0.161,20.034,0.551,6.017,0,
0.091,17.613,2.145,18.451,0.698,3.905,0,
1.759,24.382,13.307,10.862,0.833,5.743,0,
0,21.425,10.748,10.192,0.687,4.598,0,
0,22.412,5.733,18.839,0.589,2.616,0,
0,25.65,9.754,19.08,0.636,2.463,0,
0.721,19.139,10.41,5.971,0.626,4.599,0,
1.687,25.175,8.784,19.476,0.718,5.525,0,
0,19.803,7.339,22.007,0.536,5.235,0,
0,18.672,5.669,20.969,0.441,3.209,0,
0,21.049,8.389,19.704,0.573,4.046,0,
6.609,20.833,16.612,5.142,0.853,5.927,0,
0.925,19.905,7.508,16.974,0.7,6.742,0,
0,15.491,0.883,22.676,0.436,3.004,0,
0.062,19.027,8.93,16.174,0.592,3.872,0,
0.855,24.559,13.79,18.552,0.713,6.449,0,
0,18.372,4.984,22.862,0.528,3.608,0,
0,20.942,6.765,22.668,0.543,4.084,0,
11.076,19.463,13.826,3.292,0.835,5.038,0,
1.099,19.788,6.091,20.961,0.455,6.145,0,
0,15.661,5.653,15.207,0.662,2.911,0,
0.027,20.014,8.137,17.105,0.796,3.217,0,
2.846,16.161,10.821,4.175,0.879,4.187,0,
3.66,22.705,11.483,18.39,0.836,2.648,0,
4.233,18.151,10.466,10.529,0.748,3.466,0,
0,17.909,5.792,23.417,0.554,5.315,0,
0,21.865,2.545,22.676,0.672,2.911,0,
0.11,19.889,11.126,8.999,0.734,3.709,0,
3.625,26.446,13.281,21.365,0.808,2.722,0,
16.764,20.879,11.574,8.753,0.833,3.645,0,
0,18.559,6.163,24.209,0.541,3.689,0,
0,21.696,6.276,24.683,0.544,2.709,0,
0.477,19.77,10.36,10.107,0.684,5.088,0,
1.037,28.491,17.58,18.266,0.788,5.776,0,
0,24.94,9.281,25.804,0.407,5.728,0,
0,22.776,6.94,26.092,0.352,3.221,0,
0,25.733,8.948,25.735,0.397,3.742,0,
4.971,21.843,16.286,5.049,0.767,5.69,0,
9.86,20.321,7.806,6.722,0.735,6.139,0,
33.299,8.515,2.994,3.411,0.956,6.194,0,
1.085,16.327,1.973,16.278,0.732,3.638,0,
0,22.718,0.372,25.742,0.573,1.644,0,
0,26.496,9.796,25.856,0.523,3.693,0,
0.199,23.518,12.858,22.817,0.588,3.483,0,
0.17,21.025,10.654,19.29,0.645,3.955,0,
0,26.266,8.284,26.191,0.697,1.396,0,
0,26.243,10.146,26.619,0.683,1.511,0,
0,27.19,12.294,27.076,0.625,2.35,0,
0,26.649,12.342,26.722,0.555,2.783,0,
0,27.462,15.254,25.015,0.614,3.218,0,
0,27.991,15.988,25.522,0.672,3.998,0,
25.571,25.76,16.773,10.996,0.807,2.842,0,
0.247,19.21,8.713,14.321,0.718,4.658,0,
0.12,18.525,7.495,15.549,0.721,4.012,0,
0,24.899,8.351,26.848,0.592,3.05,0,
0,29.883,8.066,26.611,0.576,1.419,0,
0,25.622,14.411,18.069,0.616,3.283,0,
3.085,24.853,15.237,16.8,0.798,2.326,0,
11.474,22.91,17.799,12.286,0.919,1.918,0,
1.324,24.868,14.436,20.154,0.841,2.475,0,
3.495,26.018,15.256,18.7,0.752,2.112,0,
1.066,27.701,13.72,18.882,0.74,1.819,0,
7.145,27.044,14.095,26.033,0.787,1.852,0,
0.522,31.738,17.778,25.124,0.629,1.729,0,
3.567,26.811,15.867,8.291,0.785,3.598,0,
0.069,25.216,7.763,26.651,0.566,1.864,0,
0,30.908,16.525,27.613,0.597,5.68,0,
0.051,34.181,20.683,25.412,0.623,5.45,0,
23.772,30.991,21.122,6.893,0.768,5.191,0,
2.046,31.234,17.936,15.159,0.844,2.982,0,
3.615,28.927,15.36,26.48,0.641,2.759,0,
10.81,25.341,15.462,13.193,0.899,5.092,0,
93.684,22.755,17.84,7.212,0.953,2.718,0,
0.642,29.02,14.802,25.025,0.806,1.883,0,
0,30.952,17.307,27.98,0.623,2.645,0,
0.604,27.691,16.423,23.962,0.672,2.666,0,
0,29.417,13.421,29.178,0.585,1.728,0,
1.186,26.078,14.79,20.946,0.74,2.45,0,
4.98,24.683,15.29,26.182,0.837,2.891,0,
0.433,29.975,10.607,28.672,0.743,1.711,0,
0.364,34.43,19.678,28.883,0.635,3.325,0,
0,37.828,22.146,29.073,0.59,2.851,0,
0,36.666,20.054,29.106,0.51,2.411,0,
0,35.112,20.944,28.148,0.548,3.176,0,
0.051,31.625,21.438,21.132,0.618,3.407,0,
0.003,33.462,22.63,28.227,0.612,4.224,0,
0,34.413,22.53,28.935,0.563,5.175,0,
0,35.046,21.686,27.495,0.565,4.086,0,
0,35.949,23.237,28.806,0.504,5.818,0,
0,34.875,22.795,20.333,0.543,6.113,0,
0,35.345,21.252,28.541,0.56,4.294,0,
0,35.093,22.411,29.07,0.547,4.02,0,
0,35.565,22.275,29.374,0.534,4.44,0,
0,37.172,24.192,29.42,0.502,4.98,0,
0,38.922,25.174,29.4,0.476,5.097,0,
0.965,37.13,26.035,18.7,0.547,3.084,0,
0.13,30.143,19.471,22.128,0.48,3.326,0,
0,33.555,14.228,27.699,0.475,1.761,0,
0,34.301,17.115,28.393,0.42,2.253,0,
